id,n_turns,shift_idx,artifact,B_verdict,C_verdict
IO0EkrMh3bfAVHjw75vILuZytBUGdAl5,8,4,none,LEGAL_SHIFT,NARRATIVE_BREAK
IumZzbE9WOaF5t1wHkaCfnGGo3joR618,10,5,exact_duplicate,NARRATIVE_BREAK,UNCERTAIN
JgWOoD7lGNhNSZyl4zamJmUFkzjzCd6k,12,6,none,LEGAL_SHIFT,NARRATIVE_BREAK
LM1rA9mCFxZbMWSApnfAI05sEIX7ytQA,12,6,exact_duplicate,LEGAL_SHIFT,LEGAL_SHIFT
M4w4Rq6sLp1oWbvnVYUSPBORKUeAohop,12,6,none,NARRATIVE_BREAK,LEGAL_SHIFT
MGlvQ24PojWhdADJeyvYlWFQxwRa3zas,10,5,none,NARRATIVE_BREAK,NARRATIVE_BREAK
MqeUdAx2vyrzDxbJNcyb4gkLIvkLgKwS,14,7,exact_duplicate,LEGAL_SHIFT,NARRATIVE_BREAK
NbKbMiQwd1H0FQBWysAie6Sa12PAqCBQ,12,6,none,LEGAL_SHIFT,LEGAL_SHIFT
OqUldNyn4ZyQBvvQ5eip56AkUSHCu8Hi,10,5,none,LEGAL_SHIFT,NARRATIVE_BREAK
PSIvXMZtMuVBLENiQwmk95F5dky2gMzF,8,4,none,NARRATIVE_BREAK,NARRATIVE_BREAK
PTuMa0dKbyO3K5VQQBJPqZ34CN9dplql,16,8,none,LEGAL_SHIFT,LEGAL_SHIFT
QALxUanpxjFCHLkQhNOSh5u0NxsIlRol,16,8,none,NARRATIVE_BREAK,PARSE_FAIL
Qc6cgjEjLVF6XNLo8pOj8qUYhkCDHa7I,10,5,none,LEGAL_SHIFT,NARRATIVE_BREAK
QfCyqDSWonre9phCOTGK4matHLm3R1fE,8,4,none,NARRATIVE_BREAK,NARRATIVE_BREAK
RmKP7wnMHsq9XxQW8Oh804DDSMpbHyke,12,6,none,NARRATIVE_BREAK,UNCERTAIN
StqtZpirWhVvsz1O5xZbnl5ee7XfchVD,12,6,none,NARRATIVE_BREAK,NARRATIVE_BREAK
VtgD43fazlO3V2N7JE4gtdCLIS16tNdo,10,5,none,LEGAL_SHIFT,LEGAL_SHIFT
W5rzUFzxHj7LR9GzILV9Nfd9Uou78bXx,10,5,none,LEGAL_SHIFT,LEGAL_SHIFT
Wt7j3ZJZxa6pGkuyuNB6sMEMaEKsCSSv,6,3,none,NARRATIVE_BREAK,NARRATIVE_BREAK
X3EUb10PI4RpKG8YUBVEtRjHSGMtTmts,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
XD21gpBAcFKBugvVUdAXOl84YXaperkH,12,6,none,LEGAL_SHIFT,LEGAL_SHIFT
XR1wjL2iUNs4OfrordJdm3nz30xO6F39,10,5,none,LEGAL_SHIFT,LEGAL_SHIFT
YqCq8boCRkj064WROCjyRqzrC3wOX18R,6,3,none,NARRATIVE_BREAK,NARRATIVE_BREAK
b4pv3CwHVMC1r2TKvX3wA0AEoE91e9Vh,6,3,none,NARRATIVE_BREAK,NARRATIVE_BREAK
c2Gw3TsQhWcA7l5SypqtNjlhnYxpmes8,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
cF4f0GlWZGFNHxh4OAxo58qa4n2OyGU2,12,6,none,NARRATIVE_BREAK,LEGAL_SHIFT
cOGc1bUzVFFIEaayVmeez1QXshIqD6AS,10,5,none,LEGAL_SHIFT,LEGAL_SHIFT
cThLLBA2K2OCGUwBBRm73CAzCttfqTvk,10,5,none,NARRATIVE_BREAK,UNCERTAIN
cdrKnT04kq3iNKoe5BokbEunVcUDmiMc,8,4,none,NARRATIVE_BREAK,NARRATIVE_BREAK
eT7YgRzX9zgkqA2scPGg1GYMuebw8ZAt,12,6,none,NARRATIVE_BREAK,NARRATIVE_BREAK
eWB95enGyTOq0ecT0IdZVwlFwupEkqmu,12,6,none,NARRATIVE_BREAK,NARRATIVE_BREAK
fLFm0XJ76ENqXGeMQBHQRQVfChCMXruT,14,7,none,LEGAL_SHIFT,NARRATIVE_BREAK
ffrFaLGDP46Nh0uSExM4JNW6Trmxu3be,12,6,none,LEGAL_SHIFT,LEGAL_SHIFT
gcADAn3IkVR75dD62aT05rFOLAKD7bN8,8,4,none,NARRATIVE_BREAK,NARRATIVE_BREAK
h4rreFKzcDxStnLBkDQn5NStCkEcww8s,14,7,none,NARRATIVE_BREAK,NARRATIVE_BREAK
hZFVjoUaP3eRvaeDbU4qHdkCV69MWZkt,10,5,none,LEGAL_SHIFT,LEGAL_SHIFT
i2wntRySE7dsa9OKw3v9STM7WN764rF1,8,4,none,LEGAL_SHIFT,LEGAL_SHIFT
igynyBqzeOeVdlh2uNDDldhNwF5kDwCk,8,4,none,NARRATIVE_BREAK,NARRATIVE_BREAK
j5biV1qZv806pZRwb8a4mR6EuZUfSxFF,8,4,none,LEGAL_SHIFT,NARRATIVE_BREAK
jr5LrtCtzK3I0jJr2czYzM5lkThhfR2G,6,3,none,NARRATIVE_BREAK,NARRATIVE_BREAK
kYhNbPXWsW4kFg7L5uOt2u3Q3xbhSCmF,14,7,none,UNCERTAIN,UNCERTAIN
klDt5pMGQtsdUV4CnqiYTx4lezRZuEjC,10,5,high_similarity,LEGAL_SHIFT,LEGAL_SHIFT
kyeVdoVRGqmmmbh4Xcv5bx2pIiBK6vXB,6,3,none,LEGAL_SHIFT,NARRATIVE_BREAK
lBPkx8e9gVWMKiZlWMuxtKPTZSPPaIxR,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
lDOY7orHCMqfbHt4oI7tIgiLp23BtYOn,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
lHVJbwK8rEOTULhGPfWYP09rVYvH1MlG,14,7,none,LEGAL_SHIFT,NARRATIVE_BREAK
lNiTpEAX6asDiZjSmMxRb4safPklJyDp,10,5,none,LEGAL_SHIFT,LEGAL_SHIFT
lagXIKbyDsYHFpg2ZZl3gsBV6SSJXNin,12,6,none,NARRATIVE_BREAK,NARRATIVE_BREAK
lew8O1c9RJVR0Vi8bfgfi2oLqBMpS7CX,10,5,none,NARRATIVE_BREAK,LEGAL_SHIFT
mS7gVpDojFTaMsvyXikAgop53deRyPbb,10,5,none,LEGAL_SHIFT,LEGAL_SHIFT
mgIdl86zefG3mKSlBGZIBMTNrWgYHhph,8,4,none,LEGAL_SHIFT,UNCERTAIN
njwU2lp9Y0XTZO02Y4GaOeDnj4SyJvaL,12,6,exact_duplicate,NARRATIVE_BREAK,UNCERTAIN
p8qOQSEvz5hU3j8dZbDCWSqVUYPEAymu,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
qOC0n64bWa7gAld76fI51MoNzLtwbAEz,10,5,high_similarity,NARRATIVE_BREAK,UNCERTAIN
qdomyxZeQ3tFGaMlzKwS7Z4SbDgATTTk,10,5,none,NARRATIVE_BREAK,UNCERTAIN
qstLAh7HE8XI2JEAaJftr0SromtIQguj,16,8,none,NARRATIVE_BREAK,UNCERTAIN
rbwrLr2U88LN0Yb8wqrOUFxeKI8I1G0U,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
rgeyiMfelnzf9FKyafgEoToV3XQdLxEr,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
sXsFG9MoWn04o95v7XhryHj1B7o992xe,8,4,none,NARRATIVE_BREAK,NARRATIVE_BREAK
u2XAWmWENTEKsmUZhPfywYxwuoLiv6x5,10,5,none,LEGAL_SHIFT,UNCERTAIN
uM5Ap6iA59HPLaDHaRTjL4PtkKmdflTD,16,8,none,NARRATIVE_BREAK,UNCERTAIN
vjfZYfXkB0qfs2uW5orK0dHp2uNwtzAn,14,7,none,LEGAL_SHIFT,PARSE_FAIL
wMcpfuUR61ZNA1gVNm2W9KL6Cg0mPfZ1,18,9,exact_duplicate,LEGAL_SHIFT,UNCERTAIN
yC4rkn3AqodMA5me0g4Kd26TW0aeUJpk,12,6,none,NARRATIVE_BREAK,UNCERTAIN
z1m0C3LipJXN70p4X8BXtEKjjksvHo1l,14,7,none,NARRATIVE_BREAK,LEGAL_SHIFT
